ngram,occ
transmission_distribution,7226.0
small_town,7209.0
grand_total,7204.0
closely_related,7201.0
north_east,7195.0
flood_protection,7169.0
page_public_disclosure,7169.0
recommendation_justification_award,7163.0
agreement_date_herewith,7158.0
export_orient,7156.0
retroactive_financing,7150.0
later_month,7146.0
custom_duty,7144.0
authorization_currency_equivalent,7130.0
educational_attainment,7124.0
substantial_substantial,7123.0
type_actual_expression,7120.0
benefit_accrue,7120.0
deem_necessary,7118.0
outcome_rating,7111.0
close_cooperation,7108.0
building_block,7095.0
foreign_exchange_earning,7075.0
grow_faster,7074.0
late_early,7070.0
information_dissemination,7068.0
economically_viable,7060.0
bilateral_donor,7057.0
draft_sign_contract,7057.0
segment_population,7049.0
pro_gram,7047.0
planning_budgeting,7046.0
merchandise_export,7042.0
unless_indicate,7029.0
world_bank_authorization_currency,7009.0
sample_size,7002.0
guide_principle,6989.0
republic_authorize_representative,6989.0
emphasis_place,6985.0
play_significant,6982.0
foreseeable_future,6972.0
short_list,6966.0
great_emphasis,6964.0
rat_satisfactory,6960.0
crop_yield,6953.0
association_shall_reasonably,6950.0
vary_considerably,6949.0
post_qualification_open_national,6946.0
political_instability,6946.0
infant_mortality_rate,6934.0
free_trade,6927.0
south_south,6925.0
grievance_mechanism,6921.0
content_introduction,6914.0
shall_furnish,6901.0
east_pacific_region,6899.0
cultivate_land,6893.0
guideline_prevent_combat,6881.0
gross_domestic,6871.0
extremely_low,6850.0
sustainable_manner,6821.0
empirical_analysis,6816.0
baseline_actual_previous_actual,6811.0
infant_mortality,6808.0
inclusive_growth,6803.0
task_manager,6801.0
rule_regulation,6799.0
paragraph_section,6798.0
express_percentage,6795.0
trade_facilitation,6787.0
market_orient,6782.0
forest_pest_management,6781.0
successfully_complete,6762.0
request_proposal_opening,6762.0
section_unless_context,6758.0
capital_intensive,6758.0
restructure_history_restructuring,6756.0
tender_document,6756.0
crude_oil,6747.0
remain_constant,6747.0
employment_creation,6746.0
expand_coverage,6729.0
forward_look,6728.0
require_capitalize_term,6718.0
private_investor,6714.0
specify_purpose,6706.0
skilled_worker,6702.0
household_head,6692.0
hazardous_waste,6686.0
subject_paragraph,6686.0
prior_open,6680.0
price_contingency_total,6679.0
subject_prior_review,6677.0
web_base,6674.0
relatively_short,6663.0
soon_available_case,6659.0
memorandum_item,6642.0
labor_force_participation,6629.0
square_meter,6621.0
datum_sheet,6612.0
research_extension,6602.0
conclusion_recommendation,6601.0
background_paper,6595.0
mineral_resource,6595.0
cable_address_international,6568.0
preparatory_work,6568.0
female_beneficiary,6562.0
baseline_scenario,6559.0
borrower_shall_furnish,6558.0
innovative_approach,6557.0
special_commitment,6551.0
foreign_exchange_reserve,6524.0
discuss_chapter,6519.0
quality_entry,6519.0
reconstruction_development,6518.0
safeguard_instrument,6489.0
improve_living_condition,6470.0
crop_livestock,6467.0
reference_draft_bidding,6465.0
fiscal_sustainability,6452.0
repair_maintenance,6447.0
primary_secondary_education,6444.0
figure_illustrate,6438.0
attention_pay,6420.0
import_substitution,6404.0
progress_moderately_satisfactory,6403.0
cultural_property,6401.0
shall_repay,6400.0
inflationary_pressure,6393.0
current_end_target,6387.0
increasingly_important,6386.0
approach_recommendation_sign,6383.0
mention_earlier,6383.0
people_republic_china,6378.0
cubic_meter,6377.0
workshop_hold,6376.0
dispute_resolution,6364.0
quarterly_journal_economic,6358.0
power_station,6351.0
tree_crop,6350.0
consultation_meeting,6347.0
way_forward,6347.0
envelope_implementation,6337.0
council_minister,6335.0
female_male,6320.0
compensation_resettlement,6315.0
entry_point,6313.0
quantitative_qualitative,6305.0
self_help,6291.0
consumer_price,6291.0
recently_approve,6284.0
national_assembly,6284.0
economic_viability,6275.0
anti_corruption_guideline,6271.0
agreement_sign_respective,6270.0
project_financing_seq,6262.0
request_single_stage_post,6257.0
budget_deficit,6257.0
shall_procure_accordance,6246.0
septic_tank,6237.0
federal_republic,6232.0
live_birth,6231.0
component_paragraph_guideline,6223.0
use_agreement_meaning,6216.0
political_stability,6213.0
quotation_envelope_implementation,6207.0
potential_negative_impact,6202.0
mil_lion,6193.0
capital_stock,6188.0
pursuant_provision,6186.0
awareness_raise,6184.0
rise_sharply,6174.0
highly_relevant,6170.0
civil_war,6170.0
date_mar,6168.0
recommend_executive_director,6163.0
currency_currency,6156.0
problem_encounter,6141.0
man_month,6136.0
diligence_efficiency_conformity_appropriate,6136.0
provision_thereof,6134.0
